,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,57.10705962181091,0.21409025419762656,0.06781330108642578,0.0066501191003881166,0.15,0.1,"{'learning_rate': 0.15, 'reg_lambda': 0.1}",0.9298245614035088,0.9385964912280702,0.9203539823008849,0.9026548672566371,0.911504424778761,0.9205868653935724,0.012757610822643008,36
20,57.380256748199464,0.8650926074380674,0.06648473739624024,0.005004517056039718,0.15,1.0,"{'learning_rate': 0.15, 'reg_lambda': 1.0}",0.9298245614035088,0.9385964912280702,0.9203539823008849,0.911504424778761,0.911504424778761,0.9223567768979972,0.0105740664475039,34
21,56.33528895378113,0.7302849683269897,0.059199047088623044,0.0043932019336638435,0.2,0.0,"{'learning_rate': 0.2, 'reg_lambda': 0.0}",0.9473684210526315,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9329451948455209,0.012163583981159453,16
22,57.010561895370486,0.7208369451596826,0.06038403511047363,0.0036054320910117116,0.2,1e-05,"{'learning_rate': 0.2, 'reg_lambda': 1e-05}",0.9473684210526315,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9329451948455209,0.012163583981159453,16
23,56.50934534072876,1.0027962692772323,0.06148443222045898,0.006523147069554645,0.2,0.0001,"{'learning_rate': 0.2, 'reg_lambda': 0.0001}",0.9473684210526315,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9329451948455209,0.012163583981159453,16
24,57.052750205993654,0.7758331393167847,0.07219128608703614,0.009318379196764488,0.2,0.001,"{'learning_rate': 0.2, 'reg_lambda': 0.001}",0.9473684210526315,0.9385964912280702,0.9380530973451328,0.9203539823008849,0.9203539823008849,0.9329451948455209,0.010799393868720916,16
25,56.83338079452515,0.19668863969700823,0.07457561492919922,0.003243827823328931,0.2,0.01,"{'learning_rate': 0.2, 'reg_lambda': 0.01}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9203539823008849,0.9329296693060083,0.015583883542112001,20
26,57.00454797744751,0.43928305659862554,0.06832418441772461,0.006502048502316551,0.2,0.1,"{'learning_rate': 0.2, 'reg_lambda': 0.1}",0.956140350877193,0.9473684210526315,0.9380530973451328,0.9292035398230089,0.9292035398230089,0.939993789784195,0.010504493296376613,1
27,56.60239100456238,0.7704204181798284,0.06770138740539551,0.005673930731567087,0.2,1.0,"{'learning_rate': 0.2, 'reg_lambda': 1.0}",0.956140350877193,0.9385964912280702,0.9292035398230089,0.9203539823008849,0.911504424778761,0.9311597578015837,0.01540297843701057,25
28,55.77712268829346,0.37636901417723245,0.05935444831848145,0.006301998933306661,0.25,0.0,"{'learning_rate': 0.25, 'reg_lambda': 0.0}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.9292035398230089,0.9292035398230089,0.9382394038192828,0.009837680655604213,2
