,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.1923774242401123,0.024482293274832687,0.004347705841064453,0.0007419327777981631,3,10,"{'max_depth': 3, 'n_estimators': 10}",0.7456140350877193,0.8508771929824561,0.7876106194690266,0.6814159292035398,0.7964601769911505,0.7723955907467784,0.05650577640852717,35
21,0.3327164649963379,0.023678874534782447,0.004042291641235351,0.0005536632937310087,3,20,"{'max_depth': 3, 'n_estimators': 20}",0.8596491228070176,0.8771929824561403,0.8761061946902655,0.7699115044247787,0.8938053097345132,0.8553330228225431,0.04405669957979366,25
22,0.4966464042663574,0.03858643020286645,0.00616302490234375,0.0018038846095586613,3,30,"{'max_depth': 3, 'n_estimators': 30}",0.8859649122807017,0.868421052631579,0.8938053097345132,0.8761061946902655,0.8672566371681416,0.8783108213010402,0.010232567324111626,21
23,0.6146573066711426,0.026068227410291422,0.004897642135620117,0.0003463602929620864,3,40,"{'max_depth': 3, 'n_estimators': 40}",0.8859649122807017,0.8859649122807017,0.8584070796460177,0.8938053097345132,0.911504424778761,0.887129327744139,0.017125380892325036,18
24,0.7435413360595703,0.03546075333227613,0.005124473571777343,0.00012266144450716844,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.9122807017543859,0.9210526315789473,0.8849557522123894,0.9026548672566371,0.911504424778761,0.9064896755162243,0.012240743372730527,13
25,0.8609649181365967,0.02217665537891428,0.0054439067840576175,0.0005697827865441824,3,60,"{'max_depth': 3, 'n_estimators': 60}",0.8947368421052632,0.9385964912280702,0.911504424778761,0.9203539823008849,0.9026548672566371,0.9135693215339232,0.015168666631142837,9
26,0.9999264240264892,0.024265491295174572,0.005781221389770508,0.0004974689529750895,3,70,"{'max_depth': 3, 'n_estimators': 70}",0.8859649122807017,0.9298245614035088,0.8849557522123894,0.9203539823008849,0.9292035398230089,0.9100605496040988,0.020366028497040025,11
27,1.2194758415222169,0.11316962024511429,0.006963539123535156,0.0006517695823143502,3,80,"{'max_depth': 3, 'n_estimators': 80}",0.8947368421052632,0.9298245614035088,0.8938053097345132,0.9026548672566371,0.9292035398230089,0.9100450240645863,0.016192356205788943,12
28,1.404419231414795,0.030210429162526264,0.007820892333984374,0.0017300388855160675,3,90,"{'max_depth': 3, 'n_estimators': 90}",0.8859649122807017,0.9385964912280702,0.9203539823008849,0.911504424778761,0.9292035398230089,0.9171246700822854,0.017999357313305795,8
29,1.5068121910095216,0.07001252285973592,0.008056211471557616,9.478371318071958e-05,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.9122807017543859,0.9298245614035088,0.9203539823008849,0.911504424778761,0.9380530973451328,0.9224033535165347,0.010251277550732548,1
30,0.2225633144378662,0.007527730182036661,0.0035766124725341796,0.0004935149546217669,4,10,"{'max_depth': 4, 'n_estimators': 10}",0.8333333333333334,0.8771929824561403,0.8230088495575221,0.7610619469026548,0.7345132743362832,0.8058220773171868,0.05144798364421263,31
31,0.45219950675964354,0.08294883252920375,0.003645038604736328,0.0004274242478850856,4,20,"{'max_depth': 4, 'n_estimators': 20}",0.9122807017543859,0.8859649122807017,0.8938053097345132,0.7964601769911505,0.8584070796460177,0.8693836360813538,0.04037283934685692,23
32,0.5911200523376465,0.028651095050292893,0.004577922821044922,0.0004974975184697531,4,30,"{'max_depth': 4, 'n_estimators': 30}",0.9298245614035088,0.9035087719298246,0.911504424778761,0.8584070796460177,0.8938053097345132,0.899410029498525,0.023667583813952533,16
33,0.8211557865142822,0.058867551281821216,0.005394172668457031,0.0007943069509319216,4,40,"{'max_depth': 4, 'n_estimators': 40}",0.9298245614035088,0.9210526315789473,0.9203539823008849,0.8849557522123894,0.9026548672566371,0.9117683589504735,0.01604935328619027,10
34,0.951627779006958,0.047066347263301916,0.005709791183471679,0.0007851150757656193,4,50,"{'max_depth': 4, 'n_estimators': 50}",0.9122807017543859,0.9385964912280702,0.9292035398230089,0.8938053097345132,0.9292035398230089,0.9206179164725974,0.015868711581077426,4
35,1.2332708358764648,0.09676972467730488,0.006413936614990234,0.0032070120612864884,4,60,"{'max_depth': 4, 'n_estimators': 60}",0.9122807017543859,0.9385964912280702,0.9380530973451328,0.8938053097345132,0.911504424778761,0.9188480049681725,0.017222267613941057,6
36,1.3108767986297607,0.0255928684026413,0.008201789855957032,0.0001375548672600825,4,70,"{'max_depth': 4, 'n_estimators': 70}",0.9122807017543859,0.9473684210526315,0.9292035398230089,0.8938053097345132,0.9292035398230089,0.9223723024375097,0.01808895259928557,3
37,1.4086015224456787,0.015705165696874385,0.008252382278442383,0.00011842085461031254,4,80,"{'max_depth': 4, 'n_estimators': 80}",0.9122807017543859,0.956140350877193,0.9203539823008849,0.8938053097345132,0.9203539823008849,0.9205868653935724,0.020250446301373043,5
38,1.5697684288024902,0.028564108406604994,0.008236551284790039,0.00013818067859402882,4,90,"{'max_depth': 4, 'n_estimators': 90}",0.9122807017543859,0.956140350877193,0.9292035398230089,0.8849557522123894,0.911504424778761,0.9188169538891475,0.023425173566239528,7
39,1.7228754043579102,0.018887220923854496,0.008177423477172851,0.00014625502801700782,4,100,"{'max_depth': 4, 'n_estimators': 100}",0.9122807017543859,0.9385964912280702,0.9292035398230089,0.9026548672566371,0.9292035398230089,0.9223878279770222,0.013016699732216933,2
